solution_id,day,day_name,hour,type,engagement,reach,retention,saturation,prod_time
0,1,Martes,8,image,0.28607,0.167519,0.331754,0.526099,0.571429
0,4,Viernes,3,image,0.28607,0.167519,0.331754,0.526099,0.571429
0,5,Sábado,7,image,0.28607,0.167519,0.331754,0.526099,0.571429
0,2,Miércoles,5,image,0.28607,0.167519,0.331754,0.526099,0.571429
0,2,Miércoles,4,image,0.28607,0.167519,0.331754,0.526099,0.571429
0,5,Sábado,21,image,0.28607,0.167519,0.331754,0.526099,0.571429
0,6,Domingo,1,image,0.28607,0.167519,0.331754,0.526099,0.571429
0,6,Domingo,6,image,0.28607,0.167519,0.331754,0.526099,0.571429
0,4,Viernes,11,carousel,0.28607,0.167519,0.331754,0.526099,0.571429
0,0,Lunes,19,image,0.28607,0.167519,0.331754,0.526099,0.571429
0,3,Jueves,1,image,0.28607,0.167519,0.331754,0.526099,0.571429
0,3,Jueves,11,image,0.28607,0.167519,0.331754,0.526099,0.571429
0,1,Martes,10,image,0.28607,0.167519,0.331754,0.526099,0.571429
0,0,Lunes,20,image,0.28607,0.167519,0.331754,0.526099,0.571429
1,5,Sábado,7,short,0.783355,0.780532,0.843145,0.576923,3.714286
1,3,Jueves,21,short,0.783355,0.780532,0.843145,0.576923,3.714286
1,4,Viernes,17,short,0.783355,0.780532,0.843145,0.576923,3.714286
1,1,Martes,0,short,0.783355,0.780532,0.843145,0.576923,3.714286
1,0,Lunes,19,short,0.783355,0.780532,0.843145,0.576923,3.714286
1,1,Martes,10,short,0.783355,0.780532,0.843145,0.576923,3.714286
1,4,Viernes,15,short,0.783355,0.780532,0.843145,0.576923,3.714286
1,5,Sábado,13,short,0.783355,0.780532,0.843145,0.576923,3.714286
1,2,Miércoles,0,short,0.783355,0.780532,0.843145,0.576923,3.714286
1,6,Domingo,18,short,0.783355,0.780532,0.843145,0.576923,3.714286
1,2,Miércoles,16,short,0.783355,0.780532,0.843145,0.576923,3.714286
1,0,Lunes,2,short,0.783355,0.780532,0.843145,0.576923,3.714286
1,6,Domingo,1,short,0.783355,0.780532,0.843145,0.576923,3.714286
1,3,Jueves,23,short,0.783355,0.780532,0.843145,0.576923,3.714286
2,3,Jueves,12,short,0.777183,0.788943,0.845067,0.576923,3.714286
2,3,Jueves,15,short,0.777183,0.788943,0.845067,0.576923,3.714286
2,5,Sábado,15,short,0.777183,0.788943,0.845067,0.576923,3.714286
2,6,Domingo,5,short,0.777183,0.788943,0.845067,0.576923,3.714286
2,2,Miércoles,23,short,0.777183,0.788943,0.845067,0.576923,3.714286
2,2,Miércoles,12,short,0.777183,0.788943,0.845067,0.576923,3.714286
2,6,Domingo,23,short,0.777183,0.788943,0.845067,0.576923,3.714286
2,1,Martes,8,short,0.777183,0.788943,0.845067,0.576923,3.714286
2,1,Martes,17,short,0.777183,0.788943,0.845067,0.576923,3.714286
2,4,Viernes,17,short,0.777183,0.788943,0.845067,0.576923,3.714286
2,0,Lunes,15,short,0.777183,0.788943,0.845067,0.576923,3.714286
2,0,Lunes,17,short,0.777183,0.788943,0.845067,0.576923,3.714286
2,4,Viernes,16,short,0.777183,0.788943,0.845067,0.576923,3.714286
2,5,Sábado,2,short,0.777183,0.788943,0.845067,0.576923,3.714286
3,0,Lunes,8,image,0.251491,0.1638,0.291579,0.385989,0.742857
3,4,Viernes,11,image,0.251491,0.1638,0.291579,0.385989,0.742857
3,5,Sábado,5,image,0.251491,0.1638,0.291579,0.385989,0.742857
3,2,Miércoles,5,carousel,0.251491,0.1638,0.291579,0.385989,0.742857
3,2,Miércoles,4,image,0.251491,0.1638,0.291579,0.385989,0.742857
3,6,Domingo,1,image,0.251491,0.1638,0.291579,0.385989,0.742857
3,6,Domingo,18,image,0.251491,0.1638,0.291579,0.385989,0.742857
3,0,Lunes,19,reel,0.251491,0.1638,0.291579,0.385989,0.742857
3,3,Jueves,4,image,0.251491,0.1638,0.291579,0.385989,0.742857
3,1,Martes,11,image,0.251491,0.1638,0.291579,0.385989,0.742857
3,1,Martes,10,image,0.251491,0.1638,0.291579,0.385989,0.742857
3,5,Sábado,21,image,0.251491,0.1638,0.291579,0.385989,0.742857
3,4,Viernes,11,carousel,0.251491,0.1638,0.291579,0.385989,0.742857
3,3,Jueves,2,image,0.251491,0.1638,0.291579,0.385989,0.742857
4,4,Viernes,5,short,0.530016,0.541278,0.588219,0.0,2.571429
4,1,Martes,21,short,0.530016,0.541278,0.588219,0.0,2.571429
4,0,Lunes,20,short,0.530016,0.541278,0.588219,0.0,2.571429
4,2,Miércoles,2,carousel,0.530016,0.541278,0.588219,0.0,2.571429
4,0,Lunes,3,short,0.530016,0.541278,0.588219,0.0,2.571429
4,3,Jueves,15,reel,0.530016,0.541278,0.588219,0.0,2.571429
